Product Name,Specification,Price
"HP ZBook Power G11 Mobile Workstation 16"" FHD Touch",Intel Core Ultra 7 155H - 32GB RAM - 1TB SSD - RTX A2000 Ada - Win 11 Pro - AX WiFi 6E + BT5.3 - FPR - IR Webcam - 3Y NBD Onsite Warranty,"3,537.50"
"MSI Thin 15 B12UCX-1425NZ RTX 2050 Gaming Laptop 15.6"" FHD 144Hz",Intel Core i5-12450H - 32GB RAM - 512GB SSD - Win 11 Home - AX WiFi 6E + BT5.3 - Blue Backlit Keyboard - 1Y Warranty,"1,598.99"
"Acer Chromebook C734 11.6"" HD",Intel Celeron N4500 - 4GB RAM - 32GB eMMC - ChromeOS - AC WiFi 5 - Webcam - 1Y Warranty,414
"MSI Modern 14 F13MG-014NZ 14"" FHD Laptop",Intel Core i7-1355U - 16GB RAM - 512GB SSD - Win 11 Home - 1Y Warranty - AX Wi-Fi 6E + BT5.3,"1,399.00"
"HP ProBook 460 G11 Business Laptop 16"" WUXGA Touch",Intel Core Ultra 7 155H - 16GB RAM - 512GB SSD - Win 11 Pro - 1Y Onsite Warranty,"1,999.85"
"ASUS Vivobook Go 15 15.6"" FHD Intel Core i3-N305 - 8GB RAM - 512GB SSD - Win 11 Home S Mode",- AX WiFi 6E + BT5.3 - Webcam - USB-C - HDMI1.4 - FPR - 1Y Warranty,822.25
"Acer TravelMate Spin P4 Flip 2in1 Laptop 14"" WUXGA Touch",Intel Core i5-1240P - 16GB RAM - 256GB SSD - Win 11 Home - AX WiFi 6E + BT5.2 - IR Cam - Thunderbolt4 - with Pen - MicroSD Card Reader - Backlit Keyboard - 1Y Warranty,"1,276.50"
"Apple Macbook Pro 14"" Laptop with M4 Chip - Silver",16GB Unified Memory - 512GB SSD - 10-Core CPU - 10-Core GPU - 14-inch Liquid Retina XDR Display 70W USB-C Power Adapter,"2,959.00"
"HP Victus 15-fa0004TX RTX 3050 Gaming Laptop 15.6"" FHD 144Hz",Intel Core i5-12450H - 16GB RAM - 512GB SSD - Win 11 Home - 1Y Warranty - AX WiFi 6 + BT5.3 - Webcam - USB-C (DP1.4) - HDMI 2.1,"1,598.99"
"Apple MacBook Air 13"" Laptop with M3 Chip - Midnight","16GB RAM - 512GB SSD - 8-Core CPU -10-Core GPU - 13.6"" Liquid Retina Display - Backlit Keyboard - 1080p FaceTime HD Camera - Works with iPhone & iPad","2,155.00"
"HP Victus 15-fb1004ax 15.6"" FHD 144Hz RTX 2050 Gaming Laptop",AMD Ryzen 5 7535HS - 32GB RAM - 512GB SSD - Win 11 Home - 1Y Warranty - AX WiFi 6 + BT5.3 - Webcam - USB-C (DP1.4) - HDMI2.1 - RJ45,"1,546.00"
"Apple MacBook Air 13"" Laptop with M2 Chip - Silver","16GB RAM - 256GB SSD - 8-Core CPU - 8-Core GPU - 13.6"" Liquid Retina Display - Backlit Keyboard - 1080p FaceTime HD Camera - Works with iPhone & iPad","1,659.00"
"Lenovo IdeaPad Flex 5 14"" WUXGA Touch",Intel i3-1215U - 8GB RAM - 256GB SSD - Win 11 Home - 1yr warranty - AX WiFi6 + BT5.2 - Webcam - Thunderbolt4 (with PD & DP1.4a) - HDMI1.4b - SD Reader,920
"ASUS Vivobook 15 OLED D1505YA 15.6"" 2.8K 120Hz",AMD Ryzen 7 7730U - 40GB RAM - 512GB SSD - Win 11 Home - AC WiFi 5 + BT5.1 - Webcam - USB-C (with PD) - HDMI1.4 - 1Y Warranty,"1,608.85"
"Apple MacBook Air 13"" Laptop with M2 Chip - Space Grey","16GB RAM - 256GB SSD - 8-Core CPU -8-Core GPU - 13.6"" Liquid Retina Display - Backlit Keyboard - 1080p FaceTime HD Camera - Works with iPhone & iPad","1,659.00"
"Dell Inspiron 3000 Series 3520 Business Laptop 15.6"" FHD",Intel Core i5-1235U - 16GB RAM - 512GB SSD - Win 11 Pro - 1Y Warranty,"1,320.20"
Microsoft Surface Pro (11th Edition) Copilot+ PC - Black,"Snapdragon X Plus (10 Core) - 16GB RAM - 512GB SSD - 13"" PixelSense Flow LCD Display - Win 11 Home","2,428.00"
"Apple Macbook Pro 14"" Laptop with M4 Pro Chip - Space Black",24GB Unified Memory - 512GB SSD - 12-Core CPU - 16-Core GPU - 14-inch Liquid Retina XDR Display 70W USB-C Power Adapter,"3,759.00"
"ASUS Vivobook 14 X1404ZA 14"" FHD",Intel Core i3-1215U - 8GB RAM - 256GB SSD - Win 11 Home S Mode - AX WiFi 6E + BT - Webcam - HDMI1.4 - 1Y Warranty,782
"HP Remanufactured Chromebook Plus 15a-nb0033dx 15.6"" FHD",Intel i3-N305 - 8GB RAM - 128GB UFS - ChromeOS - 1yr warranty - AX WiFi6 + BT5 - Webcam,575
"HP Elitebook 640 G11 Business Laptop 14"" WUXGA",Intel Core Ultra 5 125U - 16GB RAM - 512GB SSD - Win 11 Pro - AX WiFi 6E + BT5.3 - 3Y NBD Onsite Warranty,"1,817.00"
"HP Probook 460 G11 Business Laptop 16"" WUXGA",Intel Core Ultra 7 155U - 16GB RAM - 256GB SSD - Win 11 Pro - 1Y Onsite Warranty,"1,916.67"
"ASUS ProArt P16 OLED H7606WI RTX 4070 Gaming Laptop 16"" 4K 60Hz Touch",AMD Ryzen AI 9 HX 370 - 64GB RAM - 1TB SSD - Win 11 Pro - BE WiFi 7 + BT5.4 - IR Cam - USB4 (with PD & DP) - HDMI2.1 FRL - Backlit Keyboard - 1Y Warranty,"5,221.01"
"Acer Nitro ANV15-51-57M1 RTX 4060 Gaming Laptop 15.6"" FHD",Intel Core i5-13420H - 32GB RAM - 1TB SSD - Win 11 Home - 1Y Warranty,"2,179.25"
Microsoft Surface Laptop (7th Edition) Copilot+ PC - Black,"Snapdragon X Plus (10 Core) - 16GB RAM - 512GB SSD - 13.8"" HDR Touch Display - Win 11 Home","2,445.00"
"ASUS Chromebook CX1500CKA 15.6"" FHD",Intel Celeron N4500 - 8GB RAM - 64GB eMMC - ChromeOS - 1Y Warranty - AX WiFi6 + BT5.2 - Webcam - MicroSD Reader,552
"ASUS TUF Gaming A15 TUF507NUR RTX 4050 Gaming Laptop 15.6"" FHD 144Hz",AMD Ryzen 7 7435HS - 32GB RAM - 512GB SSD - Win 11 Home - AX WiFi 6 + BT5.3 - Webcam - USB-C (with DP) - HDMI2.1 TMDS - RJ45 - 1Y Warranty,"2,189.31"
"Lenovo IdeaPad 1 14IGL7 14"" HD",Intel Celeron N4020 - 4GB RAM - 128GB eMMC - Win 11 Home S Mode - AX WiFi 6 + BT5.2 - USB-C - HDMI1.4b - Card Reader - 1Y Warranty - Abyss Blue,483
"Lenovo IdeaPad Slim 5 14Q8X9 14"" WUXGA Copilot+ PC",8 Core Qualcomm Snapdragon X Plus - 16GB RAM - 512GB SSD - Win 11 Home- 1Y Warranty - BE WiFi 7 & BT5.3 - IR Cam - USB4 (with PD & DP1.4),"1,940.00"
"HP Remanufactured Chromebook 11 MK G9 11.6"" HD",MediaTek MT8183 4GB RAM - 32GB eMMC - ChromeOS - 1Y Warranty - AC WiFi 5 - Webcam - USB-C (with PD & DP1.2),345
"MSI Thin 15 B13VE-1421NZ 15.6"" FHD 144Hz RTX 4050 Gaming Laptop",Intel Core i7-13620H - 32GB RAM - 1TB SSD (2 x 512GB) - NVIDIA RTX 4050 6GB - Win 11 Home - 1Y Warranty - AX Wi-Fi 6E + BT5.3 - Blue Backlit Keyboard,"2,369.00"
"Acer Aspire 5 A515 15.6"" FHD",Intel Core 7 150U - 16GB RAM - 1TB SSD - Win 11 Home - Wi-Fi 6E + BT 5.3,"1,403.28"
Microsoft Surface Pro (11th Edition) Copilot+ PC - Sapphire,"Snapdragon X Plus (10 Core) - 16GB RAM - 512GB SSD - 13"" PixelSense Flow LCD Display - Win 11 Home","2,428.00"
"ASUS Vivobook Go E1504FA 15.6"" FHD",AMD Ryzen 3 7320U - 8GB RAM - 128GB SSD - Win 11 Home S - AC WiFi 5 + BT4.1 - Webcam - USB-C & HDMI - 1yr warranty,701.5
"ASUS TUF Gaming A16 FA608WI RTX 4070 Gaming Laptop 16"" FHD+ 144Hz",AMD Ryzen AI 9 HX 370 - 32GB RAM - 1TB SSD - Win 11 Home - AX WiFi 6E + BT5.3 - IR Cam - USB4 (with PD & DP) - HDMI2.1 FRL - 1-Zone RGB Backlit Keyboard,"3,478.98"
Apple MacBook Air 13-inch Laptop with M4 Chip - Sky Blue,"- 16GB Unified Memory - 256GB SSD - 10-Core CPU - 8-Core GPU - 13.6"" Liquid Retina Display - Backlit Keyboard - 12MP Center Stage - 30W USB-C Power Adapter","1,999.00"
"Apple Macbook Pro 14"" Laptop with M3 Chip - Space Grey",8GB Unified Memory - 1TB SSD - 8-Core CPU - 10-Core GPU - 14-inch Liquid Retina XDR Display 70W USB-C Power Adapter,"2,799.00"
"ASUS TUF Gaming A15 TUF506NCR RTX 3050 Gaming Laptop 15.6"" FHD 144Hz",AMD Ryzen 7 7435HS - 32GB RAM - 1TB SSD (512G x2) - Win 11 Home - AX WiFi 6 + BT5.3 - Webcam - USB-C (with DP) - HDMI2.1 TMDS - RJ45 - 1Y Warranty,"1,941.20"
Apple MacBook Air 13-inch Laptop with M4 Chip - Midnight,"- 16GB Unified Memory - 256GB SSD - 10-Core CPU - 8-Core GPU - 13.6"" Liquid Retina Display - Backlit Keyboard - 12MP Center Stage - 30W USB-C Power Adapter","1,999.00"
"MSI Sword 17 HX B14VGKG-224NZ RTX 4070 Gaming Laptop 17"" FHD+ 165Hz",Intel Core i7-14650HX - 32GB RAM - 1TB SSD - Win 11 Home - 1Y Warranty - AX WiFi6E + BT5.3 - Webcam - USB-C (PD & DP1.4) - HDMI2.1,"3,359.00"
"ASUS Vivobook 17 D3704YA 17.3"" FHD",AMD Ryzen 7 7730U - 16GB RAM - 512GB SSD - Win 11 Home - AX WiFi 6 + BT5 - Webcam - USB-C & HDMI1.4,"1,598.99"
"MSI Katana 15 B13VEK-074NZ 15.6"" FHD 144Hz RTX4050 Gaming Laptop",Intel Core i7-13620H - 16GB RAM - 1TB SSD - NVIDIA GeForce RTX 4050 6GB - AX WiFi 6 + BT5.2 - RGB Gaming Keyboard - USB-C & HDMI 2.1 - Win 11 Home - 2Y Warranty,"2,096.47"
"Apple MacBook Air 13"" Laptop with M3 Chip - Midnight","8GB RAM - 512GB SSD - 8-Core CPU -10-Core GPU - 13.6"" Liquid Retina Display - Backlit Keyboard - 1080p FaceTime HD Camera - Works with iPhone & iPad","2,099.00"
"ASUS Chromebook C204MA 11.6"" HD",Intel Celeron N4020 - 4GB -32GB eMMC - ChromeOS - 1Y Warranty - AC WiFi 5 + BT - Webcam,368
Microsoft Surface Laptop (7th Edition) Copilot+ PC - Platinum,"Snapdragon X Plus (10 Core) - 16GB RAM - 512GB SSD - 13.8"" HDR Touch Display - Win 11 Home","2,445.00"
"MSI Thin 15 B12UC-1456NZ RTX 3050 Gaming Laptop 15.6"" FHD 144Hz",Intel Core i7-12650H - 16GB RAM - 512GB SSD - Win 11 Home - 1Y Warranty - AX WiFi 6E + BT5.3 - Blue Backlit Keyboard,"1,699.00"
